Time,Symbol,Strategy,Direction,Lot Size,Entry Price,SL,TP,PnL,Result,Cumulative PnL
2025-04-29 01:03:59.976429,BTCUSD,Breakout,Buy,0.72,2315.16,2306.73,2340.23,122.88,Win,1739.6399999999999
2025-04-29 01:33:59.976429,US30,Breakout,Sell,0.73,2389.0,2378.94,2414.92,-44.13,Loss,1695.5099999999998
2025-04-29 02:03:59.976429,NAS100,Trend,Buy,0.12,1900.89,1888.1,1910.24,111.15,Win,1806.6599999999999
2025-04-29 02:33:59.976429,EURUSD,Trend,Sell,0.84,2115.26,2105.79,2131.92,75.89,Win,1882.55
2025-04-29 03:03:59.976429,BTCUSD,Scalping,Buy,0.55,1695.11,1679.77,1713.27,-16.67,Loss,1865.8799999999999
2025-04-29 03:33:59.976429,XAUUSD,Breakout,Buy,0.16,1213.3,1198.68,1234.92,85.97,Win,1951.85
2025-04-29 04:03:59.976429,NAS100,Scalping,Sell,0.31,2000.27,1981.14,2021.61,87.49,Win,2039.34
2025-04-29 04:33:59.976429,NAS100,Scalping,Buy,0.78,1937.83,1928.75,1966.59,140.5,Win,2179.84
2025-04-29 05:03:59.976429,BTCUSD,Breakout,Sell,0.63,2013.53,2006.44,2021.82,49.44,Win,2229.28
2025-04-29 05:33:59.976429,XAUUSD,Breakout,Sell,0.47,1987.8,1968.08,2007.0,124.77,Win,2354.05
2025-04-29 06:03:59.976429,BTCUSD,Trend,Sell,0.87,2153.56,2134.9,2175.73,0.38,Win,2354.4300000000003
2025-04-29 06:33:59.976429,US30,Breakout,Buy,0.85,2271.73,2253.17,2288.23,-9.82,Loss,2344.61
2025-04-29 07:03:59.976429,XAUUSD,Scalping,Buy,0.13,1377.95,1368.15,1386.34,106.57,Win,2451.1800000000003
2025-04-29 07:33:59.976429,BTCUSD,Scalping,Sell,0.52,1868.24,1860.74,1883.57,-32.11,Loss,2419.07
2025-04-29 08:03:59.976429,XAUUSD,Scalping,Sell,0.68,1278.99,1264.31,1307.07,18.17,Win,2437.2400000000002
2025-04-29 08:33:59.976429,XAUUSD,Breakout,Sell,0.76,1823.71,1810.98,1846.58,94.4,Win,2531.6400000000003
2025-04-29 09:03:59.976429,EURUSD,Breakout,Buy,0.72,1181.44,1166.55,1207.44,-42.72,Loss,2488.9200000000005
2025-04-29 09:33:59.976429,BTCUSD,Scalping,Sell,0.51,1933.19,1926.32,1938.71,82.84,Win,2571.7600000000007
2025-04-29 10:03:59.976429,EURUSD,Trend,Buy,0.69,1960.53,1951.33,1986.69,123.2,Win,2694.9600000000005
2025-04-29 10:33:59.976429,US30,Scalping,Sell,0.56,2095.77,2086.38,2106.03,121.33,Win,2816.2900000000004
2025-04-29 11:03:59.976429,EURUSD,Scalping,Buy,0.23,2115.82,2106.42,2143.28,146.84,Win,2963.1300000000006
2025-04-29 11:33:59.976429,BTCUSD,Trend,Buy,0.4,1952.37,1941.68,1970.07,-48.66,Loss,2914.4700000000007
2025-04-29 12:03:59.976429,XAUUSD,Scalping,Buy,0.27,1596.56,1583.11,1619.74,67.98,Win,2982.4500000000007
2025-04-29 12:33:59.976429,US30,Trend,Sell,0.82,1688.59,1677.08,1706.56,102.56,Win,3085.0100000000007
2025-04-29 13:03:59.976429,NAS100,Scalping,Sell,0.6,1371.26,1355.24,1387.8,-37.56,Loss,3047.4500000000007
2025-04-29 13:33:59.976429,EURUSD,Trend,Sell,0.46,1208.45,1192.88,1231.24,107.03,Win,3154.480000000001
2025-04-29 14:03:59.976429,XAUUSD,Scalping,Buy,0.95,2039.55,2029.6,2061.47,-29.82,Loss,3124.6600000000008
2025-04-29 14:33:59.976429,XAUUSD,Trend,Sell,0.36,2309.0,2291.0,2316.37,68.89,Win,3193.5500000000006
2025-04-29 15:03:59.976429,NAS100,Trend,Sell,0.19,1696.84,1682.4,1725.39,54.95,Win,3248.5000000000005
2025-04-29 15:33:59.976429,US30,Breakout,Sell,0.77,1965.33,1948.14,1985.3,86.15,Win,3334.6500000000005
2025-04-29 16:03:59.976429,EURUSD,Breakout,Sell,0.69,1336.53,1329.01,1362.62,31.56,Win,3366.2100000000005
2025-04-29 16:33:59.976429,BTCUSD,Trend,Sell,0.87,1470.22,1450.83,1485.95,34.4,Win,3400.6100000000006
2025-04-29 17:03:59.976429,EURUSD,Breakout,Buy,0.37,2271.15,2259.09,2293.72,-37.46,Loss,3363.1500000000005
2025-04-29 17:33:59.976429,NAS100,Breakout,Sell,0.78,1407.59,1402.55,1431.69,18.01,Win,3381.1600000000008
2025-04-29 18:03:59.976429,EURUSD,Breakout,Buy,0.7,2131.42,2120.79,2158.47,-43.9,Loss,3337.2600000000007
2025-04-29 18:33:59.976429,EURUSD,Trend,Sell,0.92,2486.55,2470.37,2492.81,-21.76,Loss,3315.5000000000005
2025-04-29 19:03:59.976429,US30,Breakout,Sell,0.32,1036.0,1021.26,1065.05,6.39,Win,3321.8900000000003
2025-04-29 19:33:59.976429,NAS100,Scalping,Sell,0.28,1970.94,1961.64,1984.04,2.94,Win,3324.8300000000004
2025-04-29 20:03:59.976429,US30,Scalping,Sell,0.29,2386.6,2372.58,2392.75,67.48,Win,3392.3100000000004
2025-04-29 20:33:59.976429,US30,Trend,Sell,0.51,1851.63,1842.62,1861.27,148.41,Win,3540.7200000000003
2025-04-29 21:03:59.976429,XAUUSD,Trend,Buy,0.84,1203.07,1188.47,1222.83,93.48,Win,3634.2000000000003
2025-04-29 21:33:59.976429,NAS100,Trend,Buy,0.81,1595.19,1583.13,1624.7,62.81,Win,3697.01
2025-04-29 22:03:59.976429,US30,Scalping,Buy,0.68,1266.72,1250.32,1290.96,132.27,Win,3829.28
2025-04-29 22:33:59.976429,EURUSD,Scalping,Sell,0.84,1286.96,1272.04,1303.18,15.7,Win,3844.98
2025-04-29 23:03:59.976429,US30,Breakout,Buy,0.42,1158.65,1152.57,1167.04,89.17,Win,3934.15
2025-04-29 23:33:59.976429,NAS100,Trend,Sell,0.76,1176.57,1166.89,1192.42,22.84,Win,3956.9900000000002
2025-04-30 00:03:59.976429,BTCUSD,Trend,Sell,0.58,1878.47,1862.54,1888.61,-3.91,Loss,3953.0800000000004
2025-04-30 00:33:59.976429,US30,Scalping,Buy,0.68,2019.5,2008.2,2037.06,-13.23,Loss,3939.8500000000004
2025-04-30 01:03:59.976429,NAS100,Scalping,Buy,0.39,1699.72,1686.9,1707.1,-45.9,Loss,3893.9500000000003
2025-04-30 01:33:59.976429,EURUSD,Trend,Sell,0.36,2224.52,2211.44,2235.9,19.1,Win,3913.05
2025-04-30 02:03:59.976429,NAS100,Breakout,Buy,0.45,1373.05,1354.44,1384.84,28.54,Win,3941.59
2025-04-30 02:33:59.976429,US30,Trend,Sell,0.13,1503.72,1496.46,1513.1,24.43,Win,3966.02
2025-04-30 03:03:59.976429,XAUUSD,Breakout,Sell,0.76,1832.27,1821.23,1846.71,55.4,Win,4021.42
2025-04-30 03:33:59.976429,NAS100,Breakout,Sell,0.38,1421.09,1409.11,1438.41,-17.89,Loss,4003.53
2025-04-30 04:03:59.976429,XAUUSD,Trend,Buy,0.19,1126.41,1116.95,1140.59,58.09,Win,4061.6200000000003
2025-04-30 04:33:59.976429,XAUUSD,Trend,Buy,0.51,1372.98,1354.66,1401.31,38.51,Win,4100.13
2025-04-30 05:03:59.976429,BTCUSD,Trend,Sell,0.31,2048.81,2043.04,2061.41,30.45,Win,4130.58
2025-04-30 05:33:59.976429,BTCUSD,Trend,Sell,0.3,1149.94,1142.96,1173.88,-19.87,Loss,4110.71
2025-04-30 06:03:59.976429,NAS100,Trend,Sell,0.71,1244.52,1236.28,1271.94,97.24,Win,4207.95
2025-04-30 06:33:59.976429,EURUSD,Trend,Sell,0.55,1634.63,1623.93,1664.61,113.47,Win,4321.42
2025-04-30 07:03:59.976429,XAUUSD,Breakout,Buy,0.79,2129.36,2115.67,2149.86,-9.88,Loss,4311.54
2025-04-30 07:33:59.976429,US30,Trend,Sell,0.74,2006.35,1989.35,2027.5,115.27,Win,4426.81
2025-04-30 08:03:59.976429,BTCUSD,Trend,Buy,0.5,1311.16,1301.32,1322.94,84.24,Win,4511.05
2025-04-30 08:33:59.976429,NAS100,Breakout,Buy,0.96,1176.48,1157.81,1197.79,116.34,Win,4627.39
2025-04-30 09:03:59.976429,XAUUSD,Trend,Buy,0.2,1472.9,1457.11,1495.0,9.71,Win,4637.1
2025-04-30 09:33:59.976429,XAUUSD,Breakout,Buy,0.47,1072.07,1055.8,1082.2,114.13,Win,4751.2300000000005
2025-04-30 10:03:59.976429,NAS100,Trend,Buy,0.53,1014.15,1007.37,1031.43,-37.76,Loss,4713.47
2025-04-30 10:33:59.976429,BTCUSD,Scalping,Sell,0.66,1961.55,1952.83,1977.37,110.1,Win,4823.570000000001
2025-04-30 11:03:59.976429,BTCUSD,Breakout,Sell,0.11,1964.28,1957.01,1983.92,57.46,Win,4881.030000000001
